Year,GDP per capita (current US$),Population,Electric power consumption (kWh per capita)
1971,78.86575683,118347135,14.29692404
1972,90.51205917,121504145,15.83485074
1973,130.4897437,124709058,15.75667423
1974,201.6676706,127945196,19.10974446
1975,232.1706348,131213215,21.36217758
1976,277.0507928,134521025,18.25736906
1977,332.2820539,137861540,21.63765181
1978,364.2857905,141250964,31.61748333
1979,355.2359509,144693087,38.50218497
1980,489.1601965,148177096,45.94502243
1981,563.7833645,151686337,52.02182448
1982,580.8105955,155228658,61.12917629
1983,510.4349865,158790611,65.77215072
1984,522.7171469,162331962,71.08889622
1985,514.4376435,165791694,79.37068307
1986,472.7226387,169135273,91.64262265
1987,440.3723781,172421390,103.9198211
1988,479.8107166,175694647,119.0474517
1989,527.8114772,178949174,136.9439124
1990,582.6789677,182159874,161.8578195
1991,629.1606798,185361228,177.2161328
1992,678.977737,188558416,193.4891095
1993,824.079149,191737287,211.8680234
1994,907.4717857,194928533,238.8003402
1995,1020.146681,198140162,262.0165416
1996,1129.09271,201373791,295.0284628
1997,1054.347358,204628007,328.3812465
1998,459.1918631,207855486,327.7180762
1999,663.5232299,210996910,352.9909514
2000,770.8653516,214072421,385.7573041
2001,739.0039465,217112437,406.3792992
2002,888.9013897,220115092,412.266143
2003,1052.413199,223080121,423.5294457
2004,1136.755211,225938595,468.804367
2005,1249.397694,228805144,495.1462105
2006,1572.79794,231797427,510.5147263
2007,1840.329927,234858289,540.3769249
2008,2144.389544,237936543,564.1504172
2009,2239.095265,240981299,588.1244752
2010,3094.443079,244016173,630.298386
2011,3613.800888,247099697,674.8207384
2012,3668.212083,250222695,728.1833488
2013,3602.885517,253275918,769.4967668
2014,3476.624854,256229761,808.4189721
2015,3322.581679,259091970,910
2016,3558.818852,261850182,956
2017,3839.785075,264498852,1021
2018,3902.661676,267066843,1064
2019,4151.227554,269582878,1084
